Time[ms], Present Position
0, 1
112, 1
208, 1
304, 1
384, 1
400, 1
416, 1
432, 1
480, 1
496, 1
544, 2
560, 1
576, 1
608, 1
624, 1
640, 1
656, 1
672, 1
720, 1
736, 1
768, 1
784, 1
800, 1
816, 1
832, 1
864, 1
880, 1
896, 1
928, 1
944, 1
960, 1
976, 2
992, 2
1024, 1
1040, 1
1056, 0
1072, 0
1104, 0
1120, 1
1136, 0
1152, 1
1184, 1
1200, 0
1216, 1
1232, 1
1280, 0
1296, 1
1328, 0
1344, 1
1360, 0
1376, 0
1392, 1
1424, 0
1440, 1
1456, 0
1488, 0
1504, 1
1520, 0
1536, 1
1552, 0
1584, 1
1600, 1
1616, 1
1648, 0
1664, 1
1680, 1
1696, 0
1728, 0
1744, 1
1760, 1
1776, 1
1824, 1
1840, 1
1856, 1
1872, 0
1904, 1
1920, 0
1936, 0
1984, 0
2000, 1
2016, 0
2032, 1
2064, 0
2080, 0
2096, 0
2112, 1
2144, 0
2160, 0
2176, 0
2224, 0
2240, 0
2256, 1
2304, 0
2320, 1
2336, 0
2352, 1
2384, 0
2400, 0
2416, 0
2448, 1
2464, 1
2480, 0
2496, 1
2528, 0
2544, 1
2560, 0
2576, 1
2592, 0
2624, 1
2640, 0
2656, 0
2688, 0
2704, 0
2720, 0
2736, 0
2768, 0
2784, 0
2800, 0
2816, 1
2832, 1
2880, 1
2896, 1
2928, 0
2944, 1
2976, 10
3008, 25
3024, 43
3040, 66
3056, 92
3088, 115
3104, 136
3120, 163
3136, 189
3168, 217
3184, 242
3200, 268
3216, 294
3232, 319
3264, 345
3280, 374
3296, 400
3328, 424
3344, 450
3360, 477
3376, 500
3424, 528
3440, 528
3456, 522
3488, 513
3504, 509
3520, 509
3536, 509
3552, 509
3600, 509
3616, 510
3632, 510
3664, 510
3680, 510
3696, 508
3728, 510
3744, 510
3760, 510
3776, 510
3792, 510
3824, 510
3840, 510
3856, 510
3872, 510
3920, 510
3936, 510
3984, 510
4000, 510
4016, 510
4032, 510
4080, 510
4096, 510
4128, 510
4144, 510
4160, 510
4176, 510
4208, 510
4224, 510
4240, 510
4256, 510
4272, 510
4320, 510
4336, 510
4384, 510
4400, 510
4415, 510
4448, 510
4463, 510
4479, 510
4527, 511
4543, 510
4560, 510
4576, 510
4608, 510
4624, 510
4640, 510
4656, 510
4704, 510
4719, 510
4736, 510
4752, 510
4783, 510
4800, 510
4816, 510
4848, 510
4864, 510
4880, 510
4895, 510
4927, 510
4944, 510
4960, 510
